Hour,Data Volume per Hour (GB/hour),Energy_per_GB (Wh/GB) Simple Direct Allocation,"Energy_per_GB (Wh/GB) 
Simple Overall Mean  Re-Allocation",Energy_per_GB (Wh/GB)  Square Re-Allocation,Energy_per_GB (Wh/GB)  Exponential Re-Allocation
0,22500,0.1844444,0.2,0.11,0.05
1,15614.78,0.2657739,0.2,0.08,0.04
2,10833.43,0.3830736,0.2,0.05,0.03
3,9000,0.4611111,0.2,0.04,0.03
4,7160.61,0.57956,0.2,0.04,0.04
5,7255.2,0.5720034,0.2,0.04,0.04
6,9000,0.4611111,0.2,0.04,0.03
7,15728.03,0.2638602,0.2,0.08,0.04
8,21326.34,0.1945951,0.2,0.1,0.05
9,20885.93,0.1986984,0.2,0.1,0.05
10,21331.39,0.1945489,0.2,0.1,0.05
11,21303.54,0.1948033,0.2,0.1,0.05
12,21688.11,0.1913491,0.2,0.11,0.05
13,23621.24,0.1756894,0.2,0.12,0.05
14,25494.87,0.1627778,0.2,0.12,0.06
15,26165.72,0.1586045,0.2,0.13,0.06
16,30139.11,0.1376948,0.2,0.15,0.08
17,36000,0.1152778,0.2,0.18,0.12
18,38590.91,0.1075383,0.2,0.19,0.14
19,44305.85,0.0936671,0.2,0.22,0.21
20,52959.15,0.0783623,0.2,0.26,0.41
21,56250,0.0737778,0.2,0.27,0.53
22,45980.54,0.0902556,0.2,0.22,0.24
23,33063.11,0.1255175,0.2,0.16,0.09
